Vehicle ID,Violation Status,Violation Type,Bus Route ID,Violation Latitude,Violation Longitude,Violation Georeference,period
a3932fecf55184b6af5c3bf61d6ffdc1005d0240e78dcb134f09b78e6a309208,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.782139,-73.975963,POINT (-73.975963 40.782139),before
39e23a562421449161e167d0b1d84ec36920d0d3c0dc5859a503e3a1b7b58aad,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.784197,-73.976901,POINT (-73.976901 40.784197),before
9c6f903eb548cc91dde487287936b66428d961079b36ae68823cc9d4440a65f9,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.771758,-73.950107,POINT (-73.950107 40.771758),before
4e67d5f55713d9f8a826632f4a06502d3c582cfe0adad1bc0c8fbbb7e705ca73,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.784758,-73.980863,POINT (-73.980863 40.784758),before
eb779c3d6ef4f5391952aba20237c5fdf439c4f89643a05318109bb0ca50771f,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.783754,-73.97976,POINT (-73.97976 40.783754),before
a2f37623cf331c5579d900bf3dd609dfa09eb17653348762a71ec8d6bd8186ba,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.770839,-73.949091,POINT (-73.949091 40.770839),before
e370c1e3554f88488cdb0f251655e8d3369b1dbf6f41e34622e07660f2e762af,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.773619,-73.955908,POINT (-73.955908 40.773619),before
aadb64ce5e3d2309c9664bb48afe71c75cedf34a637f0dd824e6fdfa872dcbbe,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.776036,-73.961469,POINT (-73.961469 40.776036),before
c3bc071b177ad8a5bf621885ba956c400e20a8f6f94ade44d1d681a9836312f1,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.771861,-73.951636,POINT (-73.951636 40.771861),before
a2f37623cf331c5579d900bf3dd609dfa09eb17653348762a71ec8d6bd8186ba,VIOLATION ISSUED,MOBILE DOUBLE PARKED,M79+,40.770797,-73.949141,POINT (-73.949141 40.770797),before
